,posted,neighborhood,post title,number bedrooms,sqft,URL,price
89,10/12/19 7:45,Financial District,600 SQ.F. WON'T LAST - WATER VIEW --LUXURY LIVING --NO FEE,,,https://newyork.craigslist.org/mnh/apa/d/brooklyn-600-sqf-wont-last-water-view/6997893329.html,2511
90,10/12/19 7:45,Financial District,WON'T LAST--GUT RENOVATED--IMMEDIATE MOVING--SUN DECK--,1,610,https://newyork.craigslist.org/mnh/apa/d/new-york-wont-last-gut-renovated/6997893303.html,2515
91,10/12/19 7:44,Financial District,BEST DEAL BY FAR -- NO FEE -- CONDO LIVING-- ONE MONTH FREE--,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-best-deal-by-far-no-fee-condo/6997893154.html,2569
92,10/12/19 7:43,Downtown,NEW INVENTORY--27th ONE  MONTH  FREE-WATER VIEW-- GUT RENOVATED--,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-new-inventory-27th-one-month/6997892833.html,3000
93,10/12/19 7:41,Financial District,--NO FEE--SWIMMING POOL--LUXURY LIVING--IMMEDIATE  MOVING--,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-swimming-pool-luxury/6997892488.html,2710
94,10/12/19 7:41,Financial District,LUXURY LIVING--NO FEE--LOUNGE--HIGH FLOOR--,,,https://newyork.craigslist.org/mnh/apa/d/new-york-luxury-living-no-fee-lounge/6997892325.html,2495
95,10/12/19 7:40,Financial District,WON'T LAST--GUT RENOVATED--IMMEDIATE MOVING--SUN DECK--,1,610,https://newyork.craigslist.org/mnh/apa/d/new-york-wont-last-gut-renovated/6997892211.html,2515
96,10/12/19 7:38,Financial District,NO BROKER FEE--FULL WALLS ALLOWED--ROOMMATE ARE WELCOME--,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-no-broker-fee-full-walls/6997891842.html,2999
97,10/12/19 7:07,Financial District,***STUNNING SUN KISSED FIDI CONDO 1 BED LOFT DUPLEX***FULLY LOADED BLD,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-stunning-sun-kissed-fidi-condo/6997885007.html,4495
98,10/12/19 7:07,Financial District,***STUNNING BRIGHT LOFTY FIDI CONDO CORNER 1 BED***FULLY LOADED BLDG!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-stunning-bright-lofty-fidi/6997884932.html,5195
99,10/12/19 7:07,Chelsea,***SUN SPLASHED CHELSEA 1 BED DUPLEX DIGS***PRIVATE TERRACE!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-sun-splashed-chelsea-1-bed/6997884839.html,5895
100,10/12/19 7:06,Flatiron,***MASSIVE SUN DRENCHED FLATIRON 1 BED LOFT STUNNER***FULL SERVICE BLD,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-massive-sun-drenched-flatiron/6997884719.html,5383
101,10/12/19 7:06,Greenwich Village,***STUNNING SUN KISSED GREENWICH VILL 1 BED LOFT***AMAZING LOCATION!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-stunning-sun-kissed-greenwich/6997884619.html,4995
102,10/12/19 7:05,West Village,***AMAZING FLOOR THRU WEST VILL 1 BED LOFT STUNNER***PRIME LOCATION!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-amazing-floor-thru-west-vill-1/6997884553.html,4895
103,10/12/19 7:05,Flatiron,***SUN FLOODED CORNER UNIT FLATIRON LOFT STUNNER***AMAZING LOCATION!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-sun-flooded-corner-unit/6997884456.html,4850
104,10/12/19 7:03,Chinatown,***SUN FLOODED LOFTY LITTE ITALY TRUE 2 BED DIGS***PRIME LOCATION!!!,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-sun-flooded-lofty-litte-italy/6997884212.html,3100
105,10/12/19 7:03,Chinatown,***SUN WASHED CHINATOWN WINGED 2 BED DIGS***THIS IS A STEAL!!!,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-sun-washed-chinatown-winged-2/6997884147.html,2795
106,10/12/19 7:02,Chinatown,***AWESOME SUN WASHED LITTE ITALY TRUE 2 BED DIGS***PRIME LOCATION!!!,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-awesome-sun-washed-litte-italy/6997884033.html,2750
107,10/12/19 7:02,Chinatown,***AWESOME SUN WASHED LITTE ITALY TRUE 2 BED DIGS***PRIME LOCATION!!!,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-awesome-sun-washed-litte-italy/6997883932.html,2750
108,10/12/19 7:01,Chinatown,***SUN SPLASHED NEWLY MINTED NOLITA TRUE 2 BED DIGS***PRIME LOCATION!,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-sun-splashed-newly-minted/6997883860.html,2495
109,10/12/19 7:01,Nolita,***OVER-SIZED SUN KISSED NOLITA TRUE 1 BED DIGS***AMAZING LOCATION!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-over-sized-sun-kissed-nolita/6997883775.html,3100
110,10/12/19 7:00,Nolita,***SUN WASHED LOFTY NOLITA TRUE 1 BED DIGS***AMAZING LOCATION!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-sun-washed-lofty-nolita-true-1/6997883703.html,2750
111,10/12/19 7:00,Lower East Side,***STUNNING SUN WASHED LES CONDO STUDIO DIGS***FULLY LOADED BLDG!!!,,,https://newyork.craigslist.org/mnh/apa/d/new-york-stunning-sun-washed-les-condo/6997883633.html,2850
112,10/12/19 6:59,Lower East Side,***AWESOME RENT STABILIZED CHINATOWN 1 BED DIGS***THIS IS A STEAL!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-awesome-rent-stabilized/6997883542.html,2127
113,10/12/19 6:59,Lower East Side,***RARE SUN SPLASHED LES FLOOR THRU LOFT DIGS***PRIME LOCATION!!!,,,https://newyork.craigslist.org/mnh/apa/d/new-york-rare-sun-splashed-les-floor/6997883465.html,2450
114,10/12/19 6:58,East Village,***RARE ENORMOUS SUN KISSED EAST VILL 1 BED LOFT STUNNER***HURRY!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-rare-enormous-sun-kissed-east/6997883390.html,5695
115,10/12/19 6:58,Nolita,***AMAZING SUN WASHED LIVE/ WORK BOWERY LOFT STUNNER***RARE FIND!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-amazing-sun-washed-live-work/6997883308.html,6295
116,10/12/19 6:58,East Village,***SUN SPLASHED EAST VILL 1 BED DIGS***PRIME LOCATION!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-sun-splashed-east-vill-1-bed/6997883225.html,2250
117,10/12/19 6:57,East Village,***AWESOME SUN LIT FLOOR THRU EAST VILL 1 BED LOFT***PRIME LOCATION!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-awesome-sun-lit-floor-thru/6997883145.html,4495
118,10/12/19 6:57,East Village,***SUN BURSTING CHARMING EAST VILL 1 BED DIGS***THIS IS A STEAL!!!,1,,https://newyork.craigslist.org/mnh/apa/d/new-york-sun-bursting-charming-east/6997883072.html,2244
